id,imo,vessel_name,beneficial_owner,beneficial_owner_country,operator,operator_country,flag_name,vessel_type_code,built_year,buyer,dwt_design,class1_code,technical_manager,technical_manager_country,commercial_manager,commercial_manager_country,modified_at
8325,9419448,ADVANTAGE ARROW,Advantage Tankers LLC,Switzerland,Advantage Tankers LLC,Switzerland,Marshall Islands,Tank,2009,,115804,ABS,Anglo-Eastern Tanker Management (Hong Kong) Ltd,Hong Kong,Advantage Tankers LLC,Switzerland,2021-11-01T00:00:00Z
23621,9533323,MANDARIN NOBLE,COSCO Shipping Financial Co Ltd,Hong Kong,COSCO Shipping Financial Co Ltd,Hong Kong,Liberia,Bulk,2012,,56693,CC,Dasin Shipping Pte Ltd,Singapore,COSCO Shipping Financial Co Ltd,Hong Kong,2020-01-01T00:00:00Z
25112,9441556,HERITAGE LEADER,Stamco Ship Management Co. Ltd,Greece,Stamco Ship Management Co. Ltd,Greece,Bahamas,PCC,2011,,20434,DNV,,,Stamco Ship Management Co. Ltd,Greece,2020-01-01T00:00:00Z
12637,9352872,ZAKROS,Glory Maritime Ltd,Japan,Glory Maritime Ltd,Japan,Panama,Tank,2005,,3644,RI,,,Glory Maritime Ltd,Japan,2020-01-01T00:00:00Z
8157,9737503,TEXAS TRIUMPH,Nissen Kaiun KK,Japan,Nissen Kaiun KK,Japan,Panama,Cont,2017,,146722,ABS,Synergy Marine Pte Ltd,Singapore,Nissen Kaiun KK,Japan,2021-11-23T00:00:00Z
2419,9456197,PACIFIC DEFIANCE,Swire Pacific Ltd,Hong Kong,Swire Pacific Ltd,Hong Kong,Singapore,Offs,2013,,4523,DNV,,,Tidewater Offshore Operations Pte Ltd,Singapore,2023-04-24T00:00:00Z
2676,9577056,ALPINE PEMBROKE,Glencore International AG,Switzerland,ST Shipping & Transport Pte Ltd,Singapore,Liberia,Tank,2010,,74602,LR,ISHIMA Pte Ltd,Singapore,ST Shipping & Transport Pte Ltd,Singapore,2023-03-04T00:00:00Z
25147,9594585,STAR CENTAURUS,Star Bulk Carriers Corp,Greece,Star Bulk Carriers Corp,Greece,Marshall Islands,Bulk,2012,,56559,BV,,,Star Bulk Carriers Corp,Greece,2020-01-01T00:00:00Z
30515,9508718,PAPORA WISDOM,Wisdom Marine Lines SA,"Taiwan, Province Of China",Wisdom Marine Lines SA,"Taiwan, Province Of China",Panama,Bulk,2009,,28050,NK,Well Shipmanagement & Maritime Consultant Co. Ltd.,"Taiwan, Province Of China",Wisdom Marine Lines SA,"Taiwan, Province Of China",2020-01-01T00:00:00Z
18209,9506069,HAFNIA SHINANO,BW Pacific,Norway,BW Pacific,Norway,Singapore,Tank,2008,,76594,DNV,BW Fleet Management,Singapore,BW Pacific,Norway,2020-01-01T00:00:00Z
5324,9545780,KAN TAN 222,Eastern Navigation Pte Ltd,Singapore,Eastern Navigation Pte Ltd,Singapore,Singapore,Offs,2011,,3170,ABS,,,Eastern Navigation Pte Ltd,Singapore,2022-05-09T00:00:00Z
11435,9034705,CR LIANA,Fgas Petrol JSC,Viet Nam,Fgas Petrol JSC,Viet Nam,Panama,LPG,1993,,23257,BV,,,Fgas Petrol JSC,Viet Nam,2020-01-01T00:00:00Z
3350,9276573,MINERVA ELEONORA,Minerva Marine Inc,Greece,Minerva Marine Inc,Greece,Liberia,Tank,2004,,103622,ABS,Minerva Marine Inc,Greece,Minerva Marine Inc,Greece,2022-12-28T00:00:00Z
14739,9392250,CHELSEA,Komaya Shipping Co Pte Ltd,Singapore,Komaya Shipping Co Pte Ltd,Singapore,Singapore,LPG,2008,,8500,BV,Swan Shipping Corp,Philippines,Komaya Shipping Co Pte Ltd,Singapore,2020-01-01T00:00:00Z
1724,9247821,BALSA,Asia Charm Ltd FZE,United Arab Emirates,Cardona Ship Management Services,Philippines,Panama,Tank,2002,,106638,CS,Asia Charm Ltd FZE,United Arab Emirates,Cardona Ship Management Services,Philippines,2023-05-02T00:00:00Z
33619,9181560,GREEN COVE,Nippon Yusen Kaisha (N Y K),Japan,Nippon Yusen Kaisha (N Y K),Japan,United States of America,PCC,1999,,22747,ABS,,,Nippon Yusen Kaisha (N Y K),Japan,2020-01-01T00:00:00Z
7240,9637258,HYUNDAI VICTORY,Hyundai Merchant Marine Co. Ltd. (HMM),"Korea, Republic Of",Hyundai Merchant Marine Co. Ltd. (HMM),"Korea, Republic Of",South Korea,Cont,2014,,146046,KR,,,Hyundai Merchant Marine Co. Ltd. (HMM),"Korea, Republic Of",2022-02-07T00:00:00Z
31326,9367578,LORD VISHNU,United Ocean Enterprise Pte. Ltd.,Singapore,United Ocean Enterprise Pte. Ltd.,Singapore,Singapore,PCC,2008,,17341,NK,,,United Ocean Enterprise Pte. Ltd.,Singapore,2020-01-01T00:00:00Z
40299,9627980,OOCL MALAYSIA,Orient Overseas International Ltd. (OOIL),Hong Kong,Orient Overseas International Ltd. (OOIL),Hong Kong,Hong Kong,Cont,2013,,144162,ABS,,,Orient Overseas International Ltd. (OOIL),Hong Kong,2020-01-01T00:00:00Z
14382,9733571,EPIC SARDINIA,Kumiai Senpaku Co.,Japan,Kumiai Senpaku Co.,Japan,Singapore,LPG,2017,,8933,ABS,BW Epic Kosan Maritime Pte Ltd,Singapore,Kumiai Senpaku Co.,Japan,2020-01-01T00:00:00Z
7590,9270529,KRYMSK,PAO 'Sovcomflot',Russian Federation,PAO 'Sovcomflot',Russian Federation,Liberia,Tank,2003,,115663,IR,SCF Management Services Ltd,Russia,PAO 'Sovcomflot',Russian Federation,2022-01-11T00:00:00Z
18181,9146560,C.P.47,C & P Co. Ltd.,Thailand,C & P Co. Ltd.,Thailand,Thailand,Tank,1996,,3861,BV,,,C & P Co. Ltd.,Thailand,2020-01-01T00:00:00Z
2949,9503093,BRITOIL DESTINY,Britoil Offshore Services Pte. Ltd.,Singapore,Britoil Offshore Services Pte. Ltd.,Singapore,Tuvalu,Offs,2013,,3104,ABS,Britoil Offshore Services Pte. Ltd.,Singapore,Britoil Offshore Services Pte. Ltd.,Singapore,2023-02-12T00:00:00Z
33448,9300611,GLOBAL GARNET,Nippon Yusen Kaisha (N Y K),Japan,Nippon Yusen Kaisha (N Y K),Japan,Panama,Bulk,2005,,52223,RI,,,Nippon Yusen Kaisha (N Y K),Japan,2020-01-01T00:00:00Z
36753,9687631,REEM 1,Murakami Hide Shipbuilding Co. Ltd.,Japan,Murakami Hide Shipbuilding Co. Ltd.,Japan,Panama,Tank,2013,,5250,NK,,,Murakami Hide Shipbuilding Co. Ltd.,Japan,2020-01-01T00:00:00Z
24576,9579107,PACIFIC HARRIER,Swire Pacific Offshore Services Ltd.,Hong Kong,Swire Pacific Offshore Services Ltd.,Hong Kong,Indonesia,Offs,2012,,4699,DNV,,,Swire Pacific Offshore Services Ltd.,Hong Kong,2020-01-01T00:00:00Z
763,9664770,SFL LION,SFL Corporation,Bermuda,Frontline Ltd (Bermuda),Bermuda,Marshall Islands,Tank,2014,,115162,ABS,OSM Maritime Ship Management Pte Ltd,Singapore,Frontline Management AS,Norway,2023-07-29T00:00:00Z
40861,9753545,PRUDENT WARRIOR,Polembros Shipping Ltd,Greece,Polembros Shipping Ltd,Greece,Greece,Tank,2017,,149992,ABS,Polembros Shipping Ltd.,Greece,Polembros Shipping Ltd,Greece,2020-01-01T00:00:00Z
22078,9254264,EPIC BOLIVAR,Epic Gas Ltd.,Singapore,Epic Gas Ltd.,Singapore,Singapore,LPG,2002,,6742,NK,BW Epic Kosan Maritime Pte Ltd,Singapore,Epic Gas Ltd.,Singapore,2020-01-01T00:00:00Z
33446,9322803,LNG BORNO,Nippon Yusen Kaisha (N Y K),Japan,Nippon Yusen Kaisha (N Y K),Japan,Bermuda,LNG,2007,,82030,LR,,,Nippon Yusen Kaisha (N Y K),Japan,2020-01-01T00:00:00Z
2585,9267118,CITY OF TOKYO,Dolby Marine SA,Philippines,Dolby Marine SA,Philippines,Liberia,Tank,2004,,303994,NK,Executive Ship Management Pte Ltd,Singapore,Executive Ship Management Pte Ltd,Singapore,2023-03-13T00:00:00Z
2721,9712565,NAVIGATOR SOLAR,Navigator Greater Bay Gas Corp,United Kingdom,Pacific Gas Pte Ltd,Singapore,Liberia,LPG,2018,,18599,DNV,PG Shipmanagement Pte Ltd,Singapore,PG Shipmanagement Pte Ltd,Singapore,2023-03-02T00:00:00Z
4169,9484998,YM MILESTONE,Yang Ming Marine Transport Corp,"Taiwan, Province Of China",Yang Ming Marine Transport Corp,"Taiwan, Province Of China",Liberia,Cont,2011,,81145,ABS,,,Yang Ming Marine Transport Corp,"Taiwan, Province Of China",2022-08-29T00:00:00Z
317,9539664,DACHAN BAY EXPRESS,Hapag-Lloyd AG,Germany,Hapag-Lloyd AG,Germany,Liberia ,Cont,2012,,58197,DNV,RHL Reederei Hamburger Lloyd GmbH & Co KG,Germany,Hapag-Lloyd AG,Germany,2023-09-14T00:00:00Z
31273,9804253,ORIENTAL KING,Unique Shipping (H.K.) Ltd.,Hong Kong,Unique Shipping (H.K.) Ltd.,Hong Kong,Hong Kong,LPG,2017,,54373,DNV,Anglo-Eastern Shipmanagement (Singapore) Ptd Led,Singapore,Unique Shipping (H.K.) Ltd.,Hong Kong,2020-01-01T00:00:00Z
8738,9401776,MP THE LAW,Mangrove Partners,United States of America,Mangrove Partners,United States of America,Liberia,Cont,2009,,52316,DNV,,,Mangrove Partners,United States of America,2021-09-20T00:00:00Z
349,9838228,STI LOBELIA,Scorpio Tankers Inc,Monaco,Scorpio Commercial Management S.A.M.,Monaco,Marshall Islands,Tank,2019,,109994,ABS,Scorpio Marine Management India Pvt Ltd,India,Scorpio Commercial Management S.A.M.,Monaco,2023-09-11T00:00:00Z
22454,9839818,BULK ANTIGUA,Egon Oldendorff GmbH & Co KG,Germany,Egon Oldendorff GmbH & Co KG,Germany,Portugal,Bulk,2019,,61602,ABS,Oldendorff Carriers GmbH & Co KG,Germany,Egon Oldendorff GmbH & Co KG,Germany,2020-01-01T00:00:00Z
