id,imo,vessel_name,beneficial_owner,beneficial_owner_country,operator,operator_country,flag_name,vessel_type_code,built_year,buyer,dwt_design,class1_code,technical_manager,technical_manager_country,commercial_manager,commercial_manager_country,modified_at
9769,7821829,MAPLE,Golden Star Marine Pte. Ltd.,Singapore,Golden Star Marine Pte. Ltd.,Singapore,St Kitts-Nevis,Tank,1979,,3046,,,,Golden Star Marine Pte. Ltd.,Singapore,2020-01-01T00:00:00Z
20385,8021854,NINGALOO VISION,Apache Corp.,United States of America,Apache Corp.,United States of America,Liberia,Tank,1981,,101832,LR,,,Apache Corp.,United States of America,2020-01-01T00:00:00Z
24594,8029583,AN WEI,Swire Pacific Offshore Services Ltd.,Hong Kong,Swire Pacific Offshore Services Ltd.,Hong Kong,Singapore,Offs,1981,,1090,ABS,,,Swire Pacific Offshore Services Ltd.,Hong Kong,2020-01-01T00:00:00Z
41515,8110382,INTER MARINE,PK Group of Companies,Thailand,PK Group of Companies,Thailand,Thailand,Tank,1981,,2200,,,,PK Group of Companies,Thailand,2020-01-01T00:00:00Z
17535,8110526,WIRA KERIS,Bahtera Wira Sdn Bhd,Malaysia,Bahtera Wira Sdn Bhd,Malaysia,Malaysia,Offs,1981,,1065,ABS,,,Bahtera Wira Sdn Bhd,Malaysia,2020-01-01T00:00:00Z
13577,8122153,KIM HENG 2801,Kim Heng Group of Companies,Singapore,Kim Heng Group of Companies,Singapore,Kiribati,Offs,1982,,400,ABS,,,Kim Heng Group of Companies,Singapore,2020-01-01T00:00:00Z
27995,8211837,SIRICHI REEFER,Sirichai Fisheries Co Ltd.,Thailand,Sirichai Fisheries Co Ltd.,Thailand,Thailand,Reef,1983,,3357,LR,,,Sirichai Fisheries Co Ltd.,Thailand,2020-01-01T00:00:00Z
17416,8223505,EDRICKO 1,Bitumen Marasende,Indonesia,Bitumen Marasende,Indonesia,Indonesia,Tank,1983,,1212,RI,,,Bitumen Marasende,Indonesia,2020-01-01T00:00:00Z
22317,8606056,GMT ASTRO,Doriko Ltd,"Korea, Republic Of",Doriko Ltd,"Korea, Republic Of",Panama,PCC,1987,,16141,DNV,,,Doriko Ltd,"Korea, Republic Of",2020-01-01T00:00:00Z
16035,8717740,MARINE ALLIANCE,Hin Leong Trading (Pte.) Lt.d,Singapore,Hin Leong Trading (Pte.) Lt.d,Singapore,Singapore,Tank,1988,,740,NK,,,Hin Leong Trading (Pte.) Lt.d,Singapore,2020-01-01T00:00:00Z
28348,8717934,SENNA 4,Siamgas and Petrochemicals PCL,Thailand,Siamgas and Petrochemicals PCL,Thailand,Thailand,LPG,1989,,3230,NK,Siam Lucky Marine Co Ltd,Thailand,Siamgas and Petrochemicals PCL,Thailand,2020-01-01T00:00:00Z
17892,8802090,BALTIC SUMMER,Baltic Reefers Agency Ltd,United Kingdom,Baltic Reefers Agency Ltd,United Kingdom,Liberia,Reef,1989,,12350,RI,,,Baltic Reefers Agency Ltd,United Kingdom,2020-01-01T00:00:00Z
9898,8808161,SEI SHIN,Green World Co. Ltd.,"Korea, Republic Of",Green World Co. Ltd.,"Korea, Republic Of",South Korea,Reef,1988,,2267,KR,,,Green World Co. Ltd.,"Korea, Republic Of",2020-01-01T00:00:00Z
37423,8813659,NANTA BHUM,Regional Container Lines Public Company Ltd,Thailand,Regional Container Lines Public Company Ltd,Thailand,Thailand,Cont,1990,,14800,DNV,,,Regional Container Lines Public Company Ltd,Thailand,2020-01-01T00:00:00Z
41601,8818219,GAS GEMINI,Petrogas Shipping,Singapore,Petrogas Shipping,Singapore,Panama,LPG,1990,,49996,RI,Pioneer Shipmanagement Pte Ltd,Singapore,Petrogas Shipping,Singapore,2020-01-01T00:00:00Z
26175,8850918,GAS PIONEER,Teknogas (M) Sdn Bhd,Malaysia,Teknogas (M) Sdn Bhd,Malaysia,Malaysia,LPG,1992,,1400,BV,,,Teknogas (M) Sdn Bhd,Malaysia,2020-01-01T00:00:00Z
12747,8901949,OMURA,Global Energy International Ltd. (GEI),Singapore,Global Energy International Ltd. (GEI),Singapore,Unknown,Tank,1989,,4854,RI,,,Global Energy International Ltd. (GEI),Singapore,2020-01-01T00:00:00Z
38133,8902137,ORIENTAL JADE,PT Pelayaran Nusantara Salam Pacific Indonesia Line,Indonesia,PT Pelayaran Nusantara Salam Pacific Indonesia Line,Indonesia,Indonesia,Cont,1990,,26288,KI,,,PT Pelayaran Nusantara Salam Pacific Indonesia Line,Indonesia,2020-01-01T00:00:00Z
28360,8902371,ORLANDO 1,Siamgas and Petrochemicals PCL,Thailand,Siamgas and Petrochemicals PCL,Thailand,Bahamas,LPG,1990,,50748,ABS,Bernhard Schulte (Singapore),Singapore,Siamgas and Petrochemicals PCL,Thailand,2020-01-01T00:00:00Z
11705,8904070,FONG KUO No. 818,Fong Kuo Fishery Co. Ltd.,"Taiwan, Province Of China",Fong Kuo Fishery Co. Ltd.,"Taiwan, Province Of China",Panama,Reef,1990,,6451,NK,,,Fong Kuo Fishery Co. Ltd.,"Taiwan, Province Of China",2020-01-01T00:00:00Z
9372,8908557,SANMAR ROYAL,Hartmann Schiffahrts GmbH & Co. KG,Germany,Hartmann Schiffahrts GmbH & Co. KG,Germany,Marshall Islands,LPG,1995,,12196,LR,Hartmann Gas Carriers Germany GmbH & Co. KG,Germany,Sanmar Shipping Ltd,India,2020-11-27T00:00:00Z
28332,8910902,MIURA,Siamgas and Petrochemicals PCL,Thailand,Siamgas and Petrochemicals PCL,Thailand,Thailand,LPG,1991,,56945,LR,Bernhard Schulte (Singapore),Singapore,Siamgas and Petrochemicals PCL,Thailand,2020-01-01T00:00:00Z
22095,8911580,EXPLORER,Equatorial Marine Fuel Management Services Pte. Ltd.,Singapore,Equatorial Marine Fuel Management Services Pte. Ltd.,Singapore,Singapore,Tank,1989,,1102,NK,,,Equatorial Marine Fuel Management Services Pte. Ltd.,Singapore,2020-01-01T00:00:00Z
31481,8922292,GAS DOLLART,Unifleet BV,Netherlands,Unifleet BV,Netherlands,Malaysia,LPG,1990,,4998,BV,Uni-Fleet Sdn Bhd,Malaysia,Unifleet BV,Netherlands,2020-01-01T00:00:00Z
9511,9000883,GAS JENNY,Shandong Shipping Corp,China,Shandong Shipping Corp,China,Panama,LPG,1991,,49345,RI,Nirvana Shipping Ltd,Hong Kong,Shandong Shipping Corp,China,2020-10-13T00:00:00Z
28333,9005065,APHRODITE,Siamgas and Petrochemicals PCL,Thailand,Siamgas and Petrochemicals PCL,Thailand,Thailand,LPG,1993,,49880,RI,Bernhard Schulte (Singapore),Singapore,Siamgas and Petrochemicals PCL,Thailand,2020-01-01T00:00:00Z
17574,9005106,ELEANOR I,Bahari Nusantara,Indonesia,Bahari Nusantara,Indonesia,Indonesia,LPG,1990,,4316,DNV,,,Bahari Nusantara,Indonesia,2020-01-01T00:00:00Z
28338,9005182,SENNA 2,Siamgas and Petrochemicals PCL,Thailand,Siamgas and Petrochemicals PCL,Thailand,Thailand,LPG,1991,,4421,NK,,,Siamgas and Petrochemicals PCL,Thailand,2020-01-01T00:00:00Z
11384,9006239,HANNE DANICA,H Folmer & Co.,Denmark,H Folmer & Co.,Denmark,Denmark (DIS),Gen,1991,,2191,PR,,,H Folmer & Co.,Denmark,2020-01-01T00:00:00Z
11375,9006241,MARIANNE DANICA,H Folmer & Co.,Denmark,H Folmer & Co.,Denmark,Denmark,Gen,1993,,2100,PR,H Folmer & Co I/S,Denmark,H Folmer & Co.,Denmark,2020-01-01T00:00:00Z
10423,9008146,FUJISAN,Government of the People's Republic of China,China,Government of the People's Republic of China,China,Panama,Gen,1992,,6266,PR,Orient Marine International Co.,Greece,Government of the People's Republic of China,China,2020-01-01T00:00:00Z
14393,9014456,NEXO,Kunlun Holding Co. Ltd.,China,Kunlun Holding Co. Ltd.,China,Panama,LPG,1993,,49996,BV,,,Kunlun Holding Co. Ltd.,China,2020-01-01T00:00:00Z
10638,9017056,PISCES,Hai Soon Diesel & Trading Pte.,Singapore,Hai Soon Diesel & Trading Pte.,Singapore,Cook Islands,Tank,1991,,1617,NK,,,Hai Soon Diesel & Trading Pte.,Singapore,2020-01-01T00:00:00Z
16019,9019327,OCEAN PRESTIGE,Hin Leong Trading (Pte.) Lt.d,Singapore,Hin Leong Trading (Pte.) Lt.d,Singapore,Singapore,Tank,1990,,4999,NK,,,Hin Leong Trading (Pte.) Lt.d,Singapore,2020-01-01T00:00:00Z
31194,9019602,TENEO,Tyco Global Networks Ltd.,Bermuda,Tyco Global Networks Ltd.,Bermuda,Indonesia,Offs,1992,,1736,BV,Louis Dreyfus Armateurs SAS,France,Tyco Global Networks Ltd.,Bermuda,2020-01-01T00:00:00Z
17424,9020845,ERICA 9,Bitumen Marasende,Indonesia,Bitumen Marasende,Indonesia,Indonesia,Tank,1991,,1231,NK,,,Bitumen Marasende,Indonesia,2020-01-01T00:00:00Z
17414,9031909,EDRICKO 2,Bitumen Marasende,Indonesia,Bitumen Marasende,Indonesia,Indonesia,Tank,1991,,2131,NK,,,Bitumen Marasende,Indonesia,2020-01-01T00:00:00Z
10881,9032331,MALAYSIA STAR,Harbour-Link Group Bhd,Malaysia,Harbour-Link Group Bhd,Malaysia,Malaysia,VP,1991,,9313,NK,Supership Marine Services Inc.,Philippines,Harbour-Link Group Bhd,Malaysia,2020-01-01T00:00:00Z
10882,9034688,M- M- MARINER,Harbour-Link Group Bhd,Malaysia,Harbour-Link Group Bhd,Malaysia,Malaysia,Cont,1991,,5960,NK,,,Harbour-Link Group Bhd,Malaysia,2020-01-01T00:00:00Z
33863,9035852,SHAHAMAH,National Gas Shipping Co. (NGSCO),United Arab Emirates,National Gas Shipping Co. (NGSCO),United Arab Emirates,Liberia,LNG,1994,,71931,DNV,,,National Gas Shipping Co. (NGSCO),United Arab Emirates,2020-01-01T00:00:00Z
