id,imo,vessel_name,beneficial_owner,beneficial_owner_country,operator,operator_country,flag_name,vessel_type_code,built_year,buyer,dwt_design,class1_code,technical_manager,technical_manager_country,commercial_manager,commercial_manager_country,modified_at
28349,8021880,PATCHARAWADEE 14,Siamgas and Petrochemicals PCL,Thailand,Siamgas and Petrochemicals PCL,Thailand,Thailand,LPG,1980,,2552,,,,Siamgas and Petrochemicals PCL,Thailand,2020-01-01T00:00:00Z
35324,8114261,PUL MANDIRI,Maskapai Pelayaran Pulau Laut,Indonesia,Maskapai Pelayaran Pulau Laut,Indonesia,Indonesia,Gen,1981,,3728,KI,,,Maskapai Pelayaran Pulau Laut,Indonesia,2020-01-01T00:00:00Z
22425,8213744,SEAHORSE,"Dredging, Environmental & Marine Engineering NV (DEME Group)",Belgium,"Dredging, Environmental & Marine Engineering NV (DEME Group)",Belgium,Netherlands,Offs,1983,,20958,LR,DEME Offshore NL BV,Netherlands,"Dredging, Environmental & Marine Engineering NV (DEME Group)",Belgium,2020-01-01T00:00:00Z
32425,8314586,LUCKY,Valour Offshore Marine Services (Pte) Ltd.,Singapore,Valour Offshore Marine Services (Pte) Ltd.,Singapore,Singapore,Gen,1982,,13943,ABS,,,Valour Offshore Marine Services (Pte) Ltd.,Singapore,2020-01-01T00:00:00Z
16222,8405218,ISA LUCKY,Isa Lines,Indonesia,Isa Lines,Indonesia,Liberia,Bulk,1984,,26650,NK,,,Isa Lines,Indonesia,2020-01-01T00:00:00Z
5308,8616568,OSPREY,Offshore Heavy Transport AS,Norway,Offshore Heavy Transport AS,Norway,Norway (NIS),Gen,1989,,53000,DNV,,,Offshore Heavy Transport AS,Norway,2022-05-10T00:00:00Z
26734,8700242,ZHEN HUA 25,Shanghai Zhenhua Shipping Co Ltd,China,Shanghai Zhenhua Shipping Co Ltd,China,Hong Kong,Gen,1988,,49099,ABS,,,Shanghai Zhenhua Shipping Co Ltd,China,2020-01-01T00:00:00Z
3560,8700254,ZHEN HUA 26,Shanghai Zhenhua Shipping Co Ltd,China,Shanghai Zhenhua Shipping Co Ltd,China,Hong Kong,Gen,1988,,49060,ABS,,,Shanghai Zhenhua Shipping Co Ltd,China,2022-11-24T00:00:00Z
32037,8701040,PAMYAT KIROVA,Unknown Russians,Russian Federation,Unknown Russians,Russian Federation,Russia,Reef,1987,,9350,RS,Reefer Ltd (Russia),Russian Federation,Unknown Russians,Russian Federation,2020-01-01T00:00:00Z
27379,8705670,CALA PEVERO,Seatrade Groningen B.V.,Netherlands,Seatrade Groningen B.V.,Netherlands,Netherland Antilles,Reef,1990,,6704,RI,,,Seatrade Groningen B.V.,Netherlands,2020-01-01T00:00:00Z
37967,8713990,ROYAL PEACE,PT Waruna Nusa Sentana,Indonesia,PT Waruna Nusa Sentana,Indonesia,Japan,Bulk,1988,,6724,NK,,,PT Waruna Nusa Sentana,Indonesia,2020-01-01T00:00:00Z
