Geo_Cell_ID,Lat_gte,Lat_lt,Lon_gte,Lon_lt,Geo_Category,Geo_subcategory,Geo_Description
1,0.83,0.84,103.38,103.39,Land,Land,"Pulau Kundur, Indonesia"
2,0.83,0.84,103.39,103.4,Land,Land,"Pulau Kundur, Indonesia"
3,0.83,0.84,103.4,103.41,Land,Land,"Pulau Kundur, Indonesia"
4,0.83,0.84,103.41,103.42,Land,Land,"Pulau Kundur, Indonesia"
5,0.83,0.84,103.42,103.43,Land,Land,"Pulau Kundur, Indonesia"
6,0.83,0.84,103.43,103.44,Land,Land,"Pulau Tebias, Indonesia"
7,0.83,0.84,103.44,103.45,Land,Land,"Pulau Tebias, Indonesia"
8,0.83,0.84,103.45,103.46,Land,Land,"Pulau Tebias, Indonesia"
9,0.83,0.84,103.46,103.47,Land,Land,"Pulau Bela, Indonesia"
10,0.83,0.84,103.47,103.48,Land,Land,"Pulau Bela, Indonesia"
11,0.83,0.84,103.48,103.49,Land,Land,"Pulau Bela, Indonesia"
12,0.83,0.84,103.49,103.5,Land,Land,"Pulau Bela, Indonesia"
13,0.83,0.84,103.5,103.51,Sea,Sea,South China Sea
14,0.83,0.84,103.51,103.52,Sea,Sea,"South China Sea, Indonesia"
15,0.83,0.84,103.52,103.53,Sea,Sea,"South China Sea, Indonesia"
16,0.83,0.84,103.53,103.54,Sea,Sea,"South China Sea, Indonesia"
17,0.83,0.84,103.54,103.55,Sea,Sea,"South China Sea, Indonesia"
18,0.83,0.84,103.55,103.56,Sea,Sea,"South China Sea, Indonesia"
19,0.83,0.84,103.56,103.57,Sea,Sea,"South China Sea, Indonesia"
20,0.83,0.84,103.57,103.58,Sea,Sea,"South China Sea, Indonesia"
21,0.83,0.84,103.58,103.59,Sea,Sea,"South China Sea, Indonesia"
22,0.83,0.84,103.59,103.6,Sea,Sea,"South China Sea, Indonesia"
23,0.83,0.84,103.6,103.61,Sea,Sea,"South China Sea, Indonesia"
24,0.83,0.84,103.61,103.62,Sea,Sea,"South China Sea, Indonesia"
25,0.83,0.84,103.62,103.63,Sea,Sea,"South China Sea, Indonesia"
26,0.83,0.84,103.63,103.64,Sea,Sea,"South China Sea, Indonesia"
27,0.83,0.84,103.64,103.65,Sea,Sea,"South China Sea, Indonesia"
28,0.83,0.84,103.65,103.66,Sea,Sea,"Pauh, Indonesia"
29,0.83,0.84,103.66,103.67,Sea,Sea,"South China Sea, Indonesia"
30,0.83,0.84,103.67,103.68,Sea,Sea,"South China Sea, Indonesia"
31,0.83,0.84,103.68,103.69,Land,Land,"Pulau Panjang, Indonesia"
32,0.83,0.84,103.69,103.7,Land,Land,"Pulau Jaga, Indonesia"
33,0.83,0.84,103.7,103.71,Land,Land,"Pulau Jaga, Indonesia"
34,0.83,0.84,103.71,103.72,Sea,Sea,"South China Sea, Indonesia"
35,0.83,0.84,103.72,103.73,Sea,Sea,"South China Sea, Indonesia"
36,0.83,0.84,103.73,103.74,Sea,Sea,"Sugie, Indonesia"
37,0.83,0.84,103.74,103.75,Sea,Sea,"Sugie, Indonesia"
38,0.83,0.84,103.75,103.76,Sea,Sea,"Sugie, Indonesia"
39,0.83,0.84,103.76,103.77,Sea,Sea,"Sugie, Indonesia"
40,0.83,0.84,103.77,103.78,Sea,Sea,"Sugie, Indonesia"
41,0.83,0.84,103.78,103.79,Sea,Sea,"Sugie, Indonesia"
42,0.83,0.84,103.79,103.8,Sea,Sea,"Sugie, Indonesia"
43,0.83,0.84,103.8,103.81,Land,Land,"Sugie, Indonesia"
44,0.83,0.84,103.81,103.82,Land,Land,"Sugie, Indonesia"
45,0.83,0.84,103.82,103.83,Sea,Sea,"South China Sea, Indonesia"
46,0.83,0.84,103.83,103.84,Sea,Sea,"South China Sea, Indonesia"
47,0.83,0.84,103.84,103.85,Land,Land,"Pulau Combol, Indonesia"
48,0.83,0.84,103.85,103.86,Land,Land,"Pulau Combol, Indonesia"
49,0.83,0.84,103.86,103.87,Land,Land,"Pulau Combol, Indonesia"
50,0.83,0.84,103.87,103.88,Land,Land,"Pulau Combol, Indonesia"
51,0.83,0.84,103.88,103.89,Land,Land,"Pulau Combol, Indonesia"
52,0.83,0.84,103.89,103.9,Land,Land,"Pulau Combol, Indonesia"
53,0.83,0.84,103.9,103.91,Land,Land,"Pulau Combol, Indonesia"
54,0.83,0.84,103.91,103.92,Sea,Sea,"South China Sea, Indonesia"
55,0.83,0.84,103.92,103.93,Sea,Sea,"South China Sea, Indonesia"
56,0.83,0.84,103.93,103.94,Sea,Sea,"South China Sea, Indonesia"
57,0.84,0.85,103.38,103.39,Land,Land,"Pulau Kundur, Indonesia"
58,0.84,0.85,103.39,103.4,Land,Land,"Pulau Kundur, Indonesia"
59,0.84,0.85,103.4,103.41,Land,Land,"Pulau Kundur, Indonesia"
60,0.84,0.85,103.41,103.42,Land,Land,"Teluk Radang,  Indonesia"
61,0.84,0.85,103.42,103.43,Land,Land,"Pulau Tebias, Indonesia"
62,0.84,0.85,103.43,103.44,Land,Land,"Pulau Tebias, Indonesia"
63,0.84,0.85,103.44,103.45,Land,Land,"Pulau Tebias, Indonesia"
64,0.84,0.85,103.45,103.46,Land,Land,"Pulau Bela, Indonesia"
65,0.84,0.85,103.46,103.47,Land,Land,"Pulau Bela, Indonesia"
66,0.84,0.85,103.47,103.48,Land,Land,"Pulau Bela, Indonesia"
67,0.84,0.85,103.48,103.49,Land,Land,"Pulau Bela, Indonesia"
68,0.84,0.85,103.49,103.5,Land,Land,"Pulau Bela, Indonesia"
69,0.84,0.85,103.5,103.51,Sea,Sea,"South China Sea, Indonesia"
70,0.84,0.85,103.51,103.52,Sea,Sea,"South China Sea, Indonesia"
71,0.84,0.85,103.52,103.53,Sea,Sea,"South China Sea, Indonesia"
72,0.84,0.85,103.53,103.54,Sea,Sea,"South China Sea, Indonesia"
73,0.84,0.85,103.54,103.55,Sea,Sea,"South China Sea, Indonesia"
74,0.84,0.85,103.55,103.56,Sea,Sea,"South China Sea, Indonesia"
75,0.84,0.85,103.56,103.57,Sea,Sea,"South China Sea, Indonesia"
76,0.84,0.85,103.57,103.58,Sea,Sea,"South China Sea, Indonesia"
77,0.84,0.85,103.58,103.59,Sea,Sea,"South China Sea, Indonesia"
78,0.84,0.85,103.59,103.6,Sea,Sea,"South China Sea, Indonesia"
79,0.84,0.85,103.6,103.61,Sea,Sea,"South China Sea, Indonesia"
80,0.84,0.85,103.61,103.62,Sea,Sea,"South China Sea, Indonesia"
81,0.84,0.85,103.62,103.63,Sea,Sea,"South China Sea, Indonesia"
82,0.84,0.85,103.63,103.64,Sea,Sea,"South China Sea, Indonesia"
83,0.84,0.85,103.64,103.65,Sea,Sea,"South China Sea, Indonesia"
84,0.84,0.85,103.65,103.66,Land,Land,"Pauh, Indonesia"
85,0.84,0.85,103.66,103.67,Sea,Sea,"South China Sea, Indonesia"
86,0.84,0.85,103.67,103.68,Land,Land,"Pulau Panjang, Indonesia"
87,0.84,0.85,103.68,103.69,Land,Land,"Pulau Panjang, Indonesia"
88,0.84,0.85,103.69,103.7,Sea,Sea,"Pulau Jaga, Indonesia"
89,0.84,0.85,103.7,103.71,Land,Land,"Pulau Jaga, Indonesia"
90,0.84,0.85,103.71,103.72,Sea,Sea,"South China Sea, Indonesia"
91,0.84,0.85,103.72,103.73,Land,Land,"Pulau Sugi, Indonesia"
92,0.84,0.85,103.73,103.74,Sea,Sea,"Pulau Sugi, Indonesia"
93,0.84,0.85,103.74,103.75,Sea,Sea,"Pulau Sugi, Indonesia"
94,0.84,0.85,103.75,103.76,Sea,Sea,"Pulau Sugi, Indonesia"
95,0.84,0.85,103.76,103.77,Sea,Sea,"Pulau Sugi, Indonesia"
96,0.84,0.85,103.77,103.78,Sea,Sea,"Pulau Sugi, Indonesia"
97,0.84,0.85,103.78,103.79,Land,Land,"Pulau Sugi, Indonesia"
98,0.84,0.85,103.79,103.8,Land,Land,"Pulau Sugi, Indonesia"
99,0.84,0.85,103.8,103.81,Land,Land,"Pulau Sugi, Indonesia"
100,0.84,0.85,103.81,103.82,Sea,Sea,"South China Sea, Indonesia"
101,0.84,0.85,103.82,103.83,Sea,Sea,"South China Sea, Indonesia"
102,0.84,0.85,103.83,103.84,Land,Land,"Pulau Combol, Indonesia"
103,0.84,0.85,103.84,103.85,Land,Land,"Pulau Combol, Indonesia"
104,0.84,0.85,103.85,103.86,Land,Land,"Pulau Combol, Indonesia"
105,0.84,0.85,103.86,103.87,Land,Land,"Pulau Combol, Indonesia"
106,0.84,0.85,103.87,103.88,Land,Land,"Pulau Combol, Indonesia"
107,0.84,0.85,103.88,103.89,Land,Land,"Pulau Combol, Indonesia"
108,0.84,0.85,103.89,103.9,Land,Land,"Pulau Combol, Indonesia"
109,0.84,0.85,103.9,103.91,Land,Land,"Pulau Combol, Indonesia"
110,0.84,0.85,103.91,103.92,Sea,Sea,"South China Sea, Indonesia"
111,0.84,0.85,103.92,103.93,Sea,Sea,"South China Sea, Indonesia"
112,0.84,0.85,103.93,103.94,Sea,Sea,"South China Sea, Indonesia"
113,0.85,0.86,103.38,103.39,Land,Land,"Pulau Kundur, Indonesia"
114,0.85,0.86,103.39,103.4,Sea,Sea,"Pulau Kundur, Indonesia"
