course,course_Category
0,N
0.1,N
0.2,N
0.3,N
0.4,N
0.5,N
0.6,N
0.7,N
0.8,N
0.9,N
1,N
1.1,N
1.2,N
1.3,N
1.4,N
1.5,N
1.6,N
1.7,N
1.8,N
1.9,N
2,N
2.1,N
2.2,N
2.3,N
2.4,N
2.5,N
2.6,N
2.7,N
2.8,N
2.9,N
3,N
3.1,N
3.2,N
3.3,N
3.4,N
3.5,N
3.6,N
3.7,N
3.8,N
3.9,N
4,N
4.1,N
4.2,N
4.3,N
4.4,N
4.5,N
4.6,N
4.7,N
4.8,N
4.9,N
5,N
5.1,N
5.2,N
5.3,N
5.4,N
5.5,N
5.6,N
5.7,N
5.8,N
5.9,N
6,N
6.1,N
6.2,N
6.3,N
6.4,N
6.5,N
6.6,N
6.7,N
6.8,N
6.9,N
7,N
7.1,N
7.2,N
7.3,N
7.4,N
7.5,N
7.6,N
7.7,N
7.8,N
7.9,N
8,N
8.1,N
8.2,N
8.3,N
8.4,N
8.5,N
8.6,N
8.7,N
8.8,N
8.9,N
9,N
9.1,N
9.2,N
9.3,N
9.4,N
9.5,N
9.6,N
9.7,N
9.8,N
9.9,N
10,N
10.1,N
10.2,N
10.3,N
10.4,N
10.5,N
10.6,N
10.7,N
10.8,N
10.9,N
11,N
11.1,N
11.2,N
11.3,N
11.4,N
11.5,N
11.6,N
11.7,N
11.8,N
11.9,N
12,N
12.1,N
12.2,N
12.3,N
12.4,N
12.5,N
12.6,N
12.7,N
12.8,N
12.9,N
13,N
13.1,N
13.2,N
13.3,N
13.4,N
13.5,N
13.6,N
13.7,N
13.8,N
13.9,N
14,N
14.1,N
14.2,N
14.3,N
14.4,N
14.5,N
14.6,N
14.7,N
14.8,N
14.9,N
15,N
15.1,N
15.2,N
15.3,N
15.4,N
15.5,N
15.6,N
15.7,N
15.8,N
15.9,N
16,N
16.1,N
16.2,N
16.3,N
16.4,N
16.5,N
16.6,N
16.7,N
16.8,N
16.9,N
17,N
17.1,N
17.2,N
17.3,N
17.4,N
17.5,N
17.6,N
17.7,N
17.8,N
17.9,N
18,N
18.1,N
18.2,N
18.3,N
18.4,N
18.5,N
18.6,N
18.7,N
18.8,N
18.9,N
19,N
19.1,N
19.2,N
19.3,N
19.4,N
19.5,N
19.6,N
19.7,N
19.8,N
19.9,N
20,N
20.1,N
20.2,N
20.3,N
20.4,N
20.5,N
20.6,N
20.7,N
20.8,N
20.9,N
21,N
21.1,N
21.2,N
21.3,N
21.4,N
21.5,N
21.6,N
21.7,N
21.8,N
21.9,N
22,N
22.1,N
22.2,N
22.3,N
22.4,N
22.5,NE
22.6,NE
22.7,NE
22.8,NE
22.9,NE
23,NE
23.1,NE
23.2,NE
23.3,NE
23.4,NE
23.5,NE
23.6,NE
23.7,NE
23.8,NE
23.9,NE
24,NE
24.1,NE
24.2,NE
24.3,NE
24.4,NE
24.5,NE
24.6,NE
24.7,NE
24.8,NE
24.9,NE
25,NE
25.1,NE
25.2,NE
25.3,NE
25.4,NE
25.5,NE
25.6,NE
25.7,NE
25.8,NE
25.9,NE
26,NE
26.1,NE
26.2,NE
26.3,NE
26.4,NE
26.5,NE
26.6,NE
26.7,NE
26.8,NE
26.9,NE
27,NE
27.1,NE
27.2,NE
27.3,NE
27.4,NE
27.5,NE
27.6,NE
27.7,NE
27.8,NE
27.9,NE
28,NE
28.1,NE
28.2,NE
28.3,NE
28.4,NE
28.5,NE
28.6,NE
28.7,NE
28.8,NE
28.9,NE
29,NE
29.1,NE
29.2,NE
29.3,NE
29.4,NE
29.5,NE
29.6,NE
29.7,NE
29.8,NE
29.9,NE
30,NE
30.1,NE
30.2,NE
30.3,NE
30.4,NE
30.5,NE
30.6,NE
30.7,NE
30.8,NE
30.9,NE
31,NE
31.1,NE
31.2,NE
31.3,NE
31.4,NE
31.5,NE
31.6,NE
31.7,NE
31.8,NE
31.9,NE
32,NE
32.1,NE
32.2,NE
32.3,NE
32.4,NE
32.5,NE
32.6,NE
32.7,NE
32.8,NE
32.9,NE
33,NE
33.1,NE
33.2,NE
33.3,NE
33.4,NE
33.5,NE
33.6,NE
33.7,NE
33.8,NE
33.9,NE
34,NE
34.1,NE
34.2,NE
34.3,NE
34.4,NE
34.5,NE
34.6,NE
34.7,NE
34.8,NE
34.9,NE
35,NE
35.1,NE
35.2,NE
35.3,NE
35.4,NE
35.5,NE
35.6,NE
35.7,NE
35.8,NE
35.9,NE
36,NE
36.1,NE
36.2,NE
36.3,NE
36.4,NE
36.5,NE
36.6,NE
36.7,NE
36.8,NE
36.9,NE
37,NE
37.1,NE
37.2,NE
37.3,NE
37.4,NE
37.5,NE
37.6,NE
37.7,NE
37.8,NE
37.9,NE
38,NE
38.1,NE
38.2,NE
38.3,NE
38.4,NE
38.5,NE
38.6,NE
38.7,NE
38.8,NE
38.9,NE
39,NE
39.1,NE
39.2,NE
39.3,NE
39.4,NE
39.5,NE
39.6,NE
39.7,NE
39.8,NE
39.9,NE
40,NE
40.1,NE
40.2,NE
40.3,NE
40.4,NE
40.5,NE
40.6,NE
40.7,NE
40.8,NE
40.9,NE
41,NE
41.1,NE
41.2,NE
41.3,NE
41.4,NE
41.5,NE
41.6,NE
41.7,NE
41.8,NE
41.9,NE
42,NE
42.1,NE
42.2,NE
42.3,NE
42.4,NE
42.5,NE
42.6,NE
42.7,NE
42.8,NE
42.9,NE
43,NE
43.1,NE
43.2,NE
43.3,NE
43.4,NE
43.5,NE
43.6,NE
43.7,NE
43.8,NE
43.9,NE
44,NE
44.1,NE
44.2,NE
44.3,NE
44.4,NE
44.5,NE
44.6,NE
44.7,NE
44.8,NE
44.9,NE
45,NE
45.1,NE
45.2,NE
45.3,NE
45.4,NE
45.5,NE
45.6,NE
45.7,NE
45.8,NE
45.9,NE
46,NE
46.1,NE
46.2,NE
46.3,NE
46.4,NE
46.5,NE
46.6,NE
46.7,NE
46.8,NE
46.9,NE
47,NE
47.1,NE
47.2,NE
47.3,NE
47.4,NE
47.5,NE
47.6,NE
47.7,NE
47.8,NE
47.9,NE
48,NE
48.1,NE
48.2,NE
48.3,NE
48.4,NE
48.5,NE
48.6,NE
48.7,NE
48.8,NE
48.9,NE
49,NE
49.1,NE
49.2,NE
49.3,NE
49.4,NE
49.5,NE
49.6,NE
49.7,NE
49.8,NE
49.9,NE
50,NE
50.1,NE
50.2,NE
50.3,NE
50.4,NE
50.5,NE
50.6,NE
50.7,NE
50.8,NE
50.9,NE
51,NE
51.1,NE
51.2,NE
51.3,NE
51.4,NE
51.5,NE
51.6,NE
51.7,NE
51.8,NE
51.9,NE
52,NE
52.1,NE
52.2,NE
52.3,NE
52.4,NE
52.5,NE
52.6,NE
52.7,NE
52.8,NE
52.9,NE
53,NE
53.1,NE
53.2,NE
53.3,NE
53.4,NE
53.5,NE
53.6,NE
53.7,NE
53.8,NE
53.9,NE
54,NE
54.1,NE
54.2,NE
54.3,NE
54.4,NE
54.5,NE
54.6,NE
54.7,NE
54.8,NE
54.9,NE
55,NE
55.1,NE
55.2,NE
55.3,NE
55.4,NE
55.5,NE
55.6,NE
55.7,NE
55.8,NE
55.9,NE
56,NE
56.1,NE
56.2,NE
56.3,NE
56.4,NE
56.5,NE
56.6,NE
56.7,NE
56.8,NE
56.9,NE
57,NE
57.1,NE
57.2,NE
57.3,NE
57.4,NE
57.5,NE
57.6,NE
57.7,NE
57.8,NE
57.9,NE
58,NE
58.1,NE
58.2,NE
58.3,NE
58.4,NE
58.5,NE
58.6,NE
58.7,NE
58.8,NE
58.9,NE
59,NE
59.1,NE
59.2,NE
59.3,NE
59.4,NE
59.5,NE
59.6,NE
59.7,NE
59.8,NE
59.9,NE
60,NE
60.1,NE
60.2,NE
60.3,NE
60.4,NE
60.5,NE
60.6,NE
60.7,NE
60.8,NE
60.9,NE
61,NE
61.1,NE
61.2,NE
61.3,NE
61.4,NE
61.5,NE
61.6,NE
61.7,NE
61.8,NE
61.9,NE
62,NE
62.1,NE
62.2,NE
62.3,NE
62.4,NE
62.5,NE
62.6,NE
62.7,NE
62.8,NE
62.9,NE
63,NE
63.1,NE
63.2,NE
63.3,NE
63.4,NE
63.5,NE
63.6,NE
63.7,NE
63.8,NE
63.9,NE
64,NE
64.1,NE
64.2,NE
64.3,NE
64.4,NE
64.5,NE
64.6,NE
64.7,NE
64.8,NE
64.9,NE
65,NE
65.1,NE
65.2,NE
65.3,NE
65.4,NE
65.5,NE
65.6,NE
65.7,NE
65.8,NE
65.9,NE
66,NE
66.1,NE
66.2,NE
66.3,NE
66.4,NE
66.5,NE
66.6,NE
66.7,NE
66.8,NE
66.9,NE
67,NE
67.1,NE
67.2,NE
67.3,NE
67.4,NE
67.5,NE
67.6,E
67.7,E
67.8,E
67.9,E
68,E
68.1,E
68.2,E
68.3,E
68.4,E
68.5,E
68.6,E
68.7,E
68.8,E
68.9,E
69,E
69.1,E
69.2,E
69.3,E
69.4,E
69.5,E
69.6,E
69.7,E
69.8,E
69.9,E
70,E
70.1,E
70.2,E
70.3,E
70.4,E
70.5,E
70.6,E
70.7,E
70.8,E
70.9,E
71,E
71.1,E
71.2,E
71.3,E
71.4,E
71.5,E
71.6,E
71.7,E
71.8,E
71.9,E
72,E
72.1,E
72.2,E
72.3,E
72.4,E
72.5,E
72.6,E
72.7,E
72.8,E
72.9,E
73,E
73.1,E
73.2,E
73.3,E
73.4,E
73.5,E
73.6,E
73.7,E
73.8,E
73.9,E
74,E
74.1,E
74.2,E
74.3,E
74.4,E
74.5,E
74.6,E
74.7,E
74.8,E
74.9,E
75,E
75.1,E
75.2,E
75.3,E
75.4,E
75.5,E
75.6,E
75.7,E
75.8,E
75.9,E
76,E
76.1,E
76.2,E
76.3,E
76.4,E
76.5,E
76.6,E
76.7,E
76.8,E
76.9,E
77,E
77.1,E
77.2,E
77.3,E
77.4,E
77.5,E
77.6,E
77.7,E
77.8,E
77.9,E
78,E
78.1,E
78.2,E
78.3,E
78.4,E
78.5,E
78.6,E
78.7,E
78.8,E
78.9,E
79,E
79.1,E
79.2,E
79.3,E
79.4,E
79.5,E
79.6,E
79.7,E
79.8,E
79.9,E
80,E
80.1,E
80.2,E
80.3,E
80.4,E
80.5,E
80.6,E
80.7,E
80.8,E
80.9,E
81,E
81.1,E
81.2,E
81.3,E
81.4,E
81.5,E
81.6,E
81.7,E
81.8,E
81.9,E
82,E
82.1,E
82.2,E
82.3,E
82.4,E
82.5,E
82.6,E
82.7,E
82.8,E
82.9,E
83,E
83.1,E
83.2,E
83.3,E
83.4,E
83.5,E
83.6,E
83.7,E
83.8,E
83.9,E
84,E
84.1,E
84.2,E
84.3,E
84.4,E
84.5,E
84.6,E
84.7,E
84.8,E
84.9,E
85,E
85.1,E
85.2,E
85.3,E
85.4,E
85.5,E
85.6,E
85.7,E
85.8,E
85.9,E
86,E
86.1,E
86.2,E
86.3,E
86.4,E
86.5,E
86.6,E
86.7,E
86.8,E
86.9,E
87,E
87.1,E
87.2,E
87.3,E
87.4,E
87.5,E
87.6,E
87.7,E
87.8,E
87.9,E
88,E
88.1,E
88.2,E
88.3,E
88.4,E
88.5,E
88.6,E
88.7,E
88.8,E
88.9,E
89,E
89.1,E
89.2,E
89.3,E
89.4,E
89.5,E
89.6,E
89.7,E
89.8,E
89.9,E
90,E
90.1,E
90.2,E
90.3,E
90.4,E
90.5,E
90.6,E
90.7,E
90.8,E
90.9,E
91,E
91.1,E
91.2,E
91.3,E
91.4,E
91.5,E
91.6,E
91.7,E
91.8,E
91.9,E
92,E
92.1,E
92.2,E
92.3,E
92.4,E
92.5,E
92.6,E
92.7,E
92.8,E
92.9,E
93,E
93.1,E
93.2,E
93.3,E
93.4,E
93.5,E
93.6,E
93.7,E
93.8,E
93.9,E
94,E
94.1,E
94.2,E
94.3,E
94.4,E
94.5,E
94.6,E
94.7,E
94.8,E
94.9,E
95,E
95.1,E
95.2,E
95.3,E
95.4,E
95.5,E
95.6,E
95.7,E
95.8,E
95.9,E
96,E
96.1,E
96.2,E
96.3,E
96.4,E
96.5,E
96.6,E
96.7,E
96.8,E
96.9,E
97,E
97.1,E
97.2,E
97.3,E
97.4,E
97.5,E
97.6,E
97.7,E
97.8,E
97.9,E
98,E
98.1,E
98.2,E
98.3,E
98.4,E
98.5,E
98.6,E
98.7,E
98.8,E
98.9,E
99,E
99.1,E
99.2,E
99.3,E
99.4,E
99.5,E
99.6,E
99.7,E
99.8,E
99.9,E
100,E
100.1,E
100.2,E
100.3,E
100.4,E
100.5,E
100.6,E
100.7,E
