date_,geo_subcategory,shipcategory,avgspeed,sdspeed,minspeed,maxspeed
1/1/2020,Port Bukom,CARGO,6.894444444,2.988108239,1.6,12.1
1/1/2020,Port Bukom,TANKER,4.465217391,3.770721865,0,13.1
1/1/2020,Port Bukom,PASSENGER,,,,
1/1/2020,Port Tanjong Pagar,CARGO,3.05,2.845464227,0,5.9
1/1/2020,Port Tanjong Pagar,TANKER,,,,
1/1/2020,Port Tanjong Pagar,PASSENGER,,,,
1/1/2020,Port Jurong Island,CARGO,5.270392749,3.55783806,0,14.7
1/1/2020,Port Jurong Island,TANKER,1.821759848,2.962739666,0,13.9
1/1/2020,Port Jurong Island,PASSENGER,,,,
1/1/2020,Port Tuas,CARGO,3.032989691,3.44923668,0,9.8
1/1/2020,Port Tuas,TANKER,3.837423313,3.404537384,0,12.8
1/1/2020,Port Tuas,PASSENGER,,,,
1/1/2020,Port Marina Bay Cruise Centre,CARGO,,,,
1/1/2020,Port Marina Bay Cruise Centre,TANKER,,,,
1/1/2020,Port Marina Bay Cruise Centre,PASSENGER,,,,
1/1/2020,Port Pasir Panjang,CARGO,0.543667861,1.389616063,0,11.3
1/1/2020,Port Pasir Panjang,TANKER,1.481180812,2.522993293,0,14.9
1/1/2020,Port Pasir Panjang,PASSENGER,,,,
1/1/2020,Port Brani,CARGO,0.282307692,0.73341776,0,5.3
1/1/2020,Port Brani,TANKER,0.05,0.1,0,0.2
1/1/2020,Port Brani,PASSENGER,,,,
1/1/2020,Sea,CARGO,7.686904953,5.358558462,0,23.2
1/1/2020,Sea,TANKER,3.179766178,4.410194846,0,100.8
1/1/2020,Sea,PASSENGER,15.92,0.97145465,14.3,19.1
1/1/2021,Port Bukom,CARGO,9.7,1.029563014,8.5,11.6
1/1/2021,Port Bukom,TANKER,3.408791209,3.241112578,0,9.5
1/1/2021,Port Bukom,PASSENGER,,,,
1/1/2021,Port Tanjong Pagar,CARGO,0,0,0,0
1/1/2021,Port Tanjong Pagar,TANKER,,,,
1/1/2021,Port Tanjong Pagar,PASSENGER,,,,
1/1/2021,Port Jurong Island,CARGO,4.373571429,3.547044787,0,12.4
1/1/2021,Port Jurong Island,TANKER,1.89316129,2.757740751,0,12.8
1/1/2021,Port Jurong Island,PASSENGER,,,,
1/1/2021,Port Tuas,CARGO,2.433333333,2.915639275,0,7
1/1/2021,Port Tuas,TANKER,2.398275862,3.48835111,0,11.8
1/1/2021,Port Tuas,PASSENGER,,,,
1/1/2021,Port Marina Bay Cruise Centre,CARGO,,,,
1/1/2021,Port Marina Bay Cruise Centre,TANKER,,,,
1/1/2021,Port Marina Bay Cruise Centre,PASSENGER,,,,
1/1/2021,Port Pasir Panjang,CARGO,0.574965612,1.439010016,0,8.9
1/1/2021,Port Pasir Panjang,TANKER,0.573741794,1.484130159,0,9.7
1/1/2021,Port Pasir Panjang,PASSENGER,,,,
1/1/2021,Port Brani,CARGO,,,,
1/1/2021,Port Brani,TANKER,,,,
1/1/2021,Port Brani,PASSENGER,,,,
1/1/2021,Sea,CARGO,6.813280866,5.610512902,0,20
1/1/2021,Sea,TANKER,3.2970726,4.243220266,0,91.6
1/1/2021,Sea,PASSENGER,,,,
1/12/2019,Port Bukom,CARGO,5.95,5.36386055,0,13.4
