"date_","day_part_segment","geo_subcategory","shipcategory","shipcount"
"1/1/2020","Afternoon","Land","CARGO","0"
"1/1/2020","Afternoon","Land","PASSENGER","0"
"1/1/2020","Afternoon","Land","TANKER","0"
"1/1/2020","Afternoon","Port Brani","CARGO","4"
"1/1/2020","Afternoon","Port Brani","PASSENGER","0"
"1/1/2020","Afternoon","Port Brani","TANKER","1"
"1/1/2020","Afternoon","Port Bukom","CARGO","2"
"1/1/2020","Afternoon","Port Bukom","PASSENGER","0"
"1/1/2020","Afternoon","Port Bukom","TANKER","12"
"1/1/2020","Afternoon","Port Jurong Island","CARGO","11"
"1/1/2020","Afternoon","Port Jurong Island","PASSENGER","0"
"1/1/2020","Afternoon","Port Jurong Island","TANKER","53"
"1/1/2020","Afternoon","Port Marina Bay Cruise Centre","CARGO","0"
"1/1/2020","Afternoon","Port Marina Bay Cruise Centre","PASSENGER","0"
"1/1/2020","Afternoon","Port Marina Bay Cruise Centre","TANKER","0"
"1/1/2020","Afternoon","Port Pasir Panjang","CARGO","32"
"1/1/2020","Afternoon","Port Pasir Panjang","PASSENGER","0"
"1/1/2020","Afternoon","Port Pasir Panjang","TANKER","12"
"1/1/2020","Afternoon","Port Tanjong Pagar","CARGO","1"
"1/1/2020","Afternoon","Port Tanjong Pagar","PASSENGER","0"
"1/1/2020","Afternoon","Port Tanjong Pagar","TANKER","0"
"1/1/2020","Afternoon","Port Tuas","CARGO","4"
"1/1/2020","Afternoon","Port Tuas","PASSENGER","0"
"1/1/2020","Afternoon","Port Tuas","TANKER","6"
"1/1/2020","Afternoon","Sea","CARGO","64"
"1/1/2020","Afternoon","Sea","PASSENGER","0"
"1/1/2020","Afternoon","Sea","TANKER","185"
"1/1/2020","Early_Morning","Land","CARGO","0"
"1/1/2020","Early_Morning","Land","PASSENGER","0"
"1/1/2020","Early_Morning","Land","TANKER","0"
"1/1/2020","Early_Morning","Port Brani","CARGO","1"
"1/1/2020","Early_Morning","Port Brani","PASSENGER","0"
"1/1/2020","Early_Morning","Port Brani","TANKER","0"
"1/1/2020","Early_Morning","Port Bukom","CARGO","0"
"1/1/2020","Early_Morning","Port Bukom","PASSENGER","0"
"1/1/2020","Early_Morning","Port Bukom","TANKER","7"
"1/1/2020","Early_Morning","Port Jurong Island","CARGO","1"
"1/1/2020","Early_Morning","Port Jurong Island","PASSENGER","0"
"1/1/2020","Early_Morning","Port Jurong Island","TANKER","39"
"1/1/2020","Early_Morning","Port Marina Bay Cruise Centre","CARGO","0"
"1/1/2020","Early_Morning","Port Marina Bay Cruise Centre","PASSENGER","0"
"1/1/2020","Early_Morning","Port Marina Bay Cruise Centre","TANKER","0"
"1/1/2020","Early_Morning","Port Pasir Panjang","CARGO","20"
"1/1/2020","Early_Morning","Port Pasir Panjang","PASSENGER","0"
"1/1/2020","Early_Morning","Port Pasir Panjang","TANKER","7"
"1/1/2020","Early_Morning","Port Tanjong Pagar","CARGO","0"
"1/1/2020","Early_Morning","Port Tanjong Pagar","PASSENGER","0"
"1/1/2020","Early_Morning","Port Tanjong Pagar","TANKER","0"
"1/1/2020","Early_Morning","Port Tuas","CARGO","1"
"1/1/2020","Early_Morning","Port Tuas","PASSENGER","0"
"1/1/2020","Early_Morning","Port Tuas","TANKER","5"
"1/1/2020","Early_Morning","Sea","CARGO","44"
"1/1/2020","Early_Morning","Sea","PASSENGER","0"
"1/1/2020","Early_Morning","Sea","TANKER","135"
"1/1/2020","Evening","Land","CARGO","0"
"1/1/2020","Evening","Land","PASSENGER","0"
"1/1/2020","Evening","Land","TANKER","0"
"1/1/2020","Evening","Port Brani","CARGO","3"
"1/1/2020","Evening","Port Brani","PASSENGER","0"
