speed,speed_category
0,Stationary
0.1,Slow
0.2,Slow
0.3,Slow
0.4,Slow
0.5,Slow
0.6,Slow
0.7,Slow
0.8,Slow
0.9,Slow
1,Slow
1.1,Slow
1.2,Slow
1.3,Slow
1.4,Slow
1.5,Slow
1.6,Slow
1.7,Slow
1.8,Slow
1.9,Slow
2,Slow
2.1,Slow
2.2,Slow
2.3,Slow
2.4,Slow
2.5,Slow
2.6,Slow
2.7,Slow
2.8,Slow
2.9,Slow
3,Slow
3.1,Slow
3.2,Slow
3.3,Slow
3.4,Slow
3.5,Slow
3.6,Slow
3.7,Slow
3.8,Slow
3.9,Slow
4,Slow
4.1,Slow
4.2,Slow
4.3,Slow
4.4,Slow
4.5,Slow
4.6,Slow
4.7,Slow
4.8,Slow
4.9,Slow
5,Slow
5.1,Slow
5.2,Slow
5.3,Slow
5.4,Slow
5.5,Slow
5.6,Slow
5.7,Slow
5.8,Slow
5.9,Slow
6,Slow
6.1,Slow
6.2,Slow
6.3,Slow
6.4,Slow
6.5,Slow
6.6,Slow
6.7,Slow
6.8,Slow
6.9,Slow
7,Slow
7.1,Slow
7.2,Slow
7.3,Slow
7.4,Slow
7.5,Slow
7.6,Slow
7.7,Slow
7.8,Slow
7.9,Slow
8,Slow
8.1,Medium
8.2,Medium
8.3,Medium
8.4,Medium
8.5,Medium
8.6,Medium
8.7,Medium
8.8,Medium
8.9,Medium
9,Medium
9.1,Medium
9.2,Medium
9.3,Medium
9.4,Medium
9.5,Medium
9.6,Medium
9.7,Medium
9.8,Medium
9.9,Medium
10,Medium
10.1,Medium
10.2,Medium
10.3,Medium
10.4,Medium
10.5,Medium
10.6,Medium
10.7,Medium
10.8,Medium
10.9,Medium
11,Medium
11.1,Medium
11.2,Medium
11.3,Medium
11.4,Medium
11.5,Medium
11.6,Medium
11.7,Medium
11.8,Medium
11.9,Medium
12,Medium
12.1,Medium
12.2,Medium
12.3,Medium
12.4,Medium
12.5,Medium
12.6,Medium
12.7,Medium
12.8,Medium
12.9,Medium
13,High
13.1,High
13.2,High
13.3,High
13.4,High
13.5,High
13.6,High
13.7,High
13.8,High
13.9,High
14,High
14.1,High
14.2,High
14.3,High
14.4,High
14.5,High
14.6,High
14.7,High
14.8,High
14.9,High
15,High
15.1,High
15.2,High
15.3,High
15.4,High
15.5,High
15.6,High
15.7,High
15.8,High
15.9,High
16,High
16.1,High
16.2,High
16.3,High
16.4,High
16.5,High
16.6,High
16.7,High
16.8,High
16.9,High
17,High
17.1,High
17.2,High
17.3,High
17.4,High
17.5,High
17.6,High
17.7,High
17.8,High
17.9,High
18,High
18.1,High
18.2,High
18.3,High
18.4,High
18.5,High
18.6,High
18.7,High
18.8,High
18.9,High
19,High
19.1,High
19.2,High
19.3,High
19.4,High
19.5,High
19.6,High
19.7,High
19.8,High
19.9,High
20,Very High
20.1,Very High
20.2,Very High
20.3,Very High
20.4,Very High
20.5,Very High
20.6,Very High
20.7,Very High
20.8,Very High
20.9,Very High
21,Very High
21.1,Very High
21.2,Very High
21.3,Very High
21.4,Very High
21.5,Very High
21.6,Very High
21.7,Very High
21.8,Very High
21.9,Very High
22,Very High
22.1,Very High
22.2,Very High
22.3,Very High
22.4,Very High
22.5,Very High
22.6,Very High
22.7,Very High
22.8,Very High
22.9,Very High
23,Very High
23.1,Very High
23.2,Very High
23.3,Very High
23.4,Very High
23.5,Very High
23.6,Very High
23.7,Very High
23.8,Very High
23.9,Very High
24,Very High
24.1,Very High
24.2,Very High
24.3,Very High
24.4,Very High
24.5,Very High
24.6,Very High
24.7,Very High
24.8,Very High
24.9,Very High
25,Very High
25.1,Very High
25.2,Very High
25.3,Very High
25.4,Very High
25.5,Very High
25.6,Very High
25.7,Very High
25.8,Very High
25.9,Very High
26,Very High
26.1,Very High
26.2,Very High
26.3,Very High
26.4,Very High
26.5,Very High
26.6,Very High
26.7,Very High
26.8,Very High
26.9,Very High
27,Very High
27.1,Very High
27.2,Very High
27.3,Very High
27.4,Very High
27.5,Very High
27.6,Very High
27.7,Very High
27.8,Very High
27.9,Very High
28,Very High
28.1,Very High
28.2,Very High
28.3,Very High
28.4,Very High
28.5,Very High
28.6,Very High
28.7,Very High
28.8,Very High
28.9,Very High
29,Very High
29.1,Very High
29.2,Very High
29.3,Very High
29.4,Very High
29.5,Very High
29.6,Very High
29.7,Very High
29.8,Very High
29.9,Very High
30,Very High
30.1,Very High
30.2,Very High
30.3,Very High
30.4,Very High
30.5,Very High
30.6,Very High
30.7,Very High
30.8,Very High
30.9,Very High
31,Very High
31.1,Very High
31.2,Very High
31.3,Very High
31.4,Very High
31.5,Very High
31.6,Very High
31.7,Very High
31.8,Very High
31.9,Very High
32,Very High
32.1,Very High
32.2,Very High
32.3,Very High
32.4,Very High
32.5,Very High
32.6,Very High
32.7,Very High
32.8,Very High
32.9,Very High
33,Very High
33.1,Very High
33.2,Very High
33.3,Very High
33.4,Very High
33.5,Very High
33.6,Very High
33.7,Very High
33.8,Very High
33.9,Very High
34,Very High
34.1,Very High
34.2,Very High
34.3,Very High
34.4,Very High
34.5,Very High
34.6,Very High
34.7,Very High
34.8,Very High
34.9,Very High
35,Very High
35.1,Very High
35.2,Very High
35.3,Very High
35.4,Very High
35.5,Very High
35.6,Very High
35.7,Very High
35.8,Very High
35.9,Very High
36,Very High
36.1,Very High
36.2,Very High
36.3,Very High
36.4,Very High
36.5,Very High
36.6,Very High
36.7,Very High
36.8,Very High
36.9,Very High
37,Very High
37.1,Very High
37.2,Very High
37.3,Very High
37.4,Very High
37.5,Very High
37.6,Very High
37.7,Very High
37.8,Very High
37.9,Very High
38,Very High
38.1,Very High
38.2,Very High
38.3,Very High
38.4,Very High
38.5,Very High
38.6,Very High
38.7,Very High
38.8,Very High
38.9,Very High
39,Very High
39.1,Very High
39.2,Very High
39.3,Very High
39.4,Very High
39.5,Very High
39.6,Very High
39.7,Very High
39.8,Very High
39.9,Very High
40,Very High
40.1,Very High
40.2,Very High
40.3,Very High
40.4,Very High
40.5,Very High
40.6,Very High
40.7,Very High
40.8,Very High
40.9,Very High
41,Very High
41.1,Very High
41.2,Very High
41.3,Very High
41.4,Very High
41.5,Very High
41.6,Very High
41.7,Very High
41.8,Very High
41.9,Very High
42,Very High
42.1,Very High
42.2,Very High
42.3,Very High
42.4,Very High
42.5,Very High
42.6,Very High
42.7,Very High
42.8,Very High
42.9,Very High
43,Very High
43.1,Very High
43.2,Very High
43.3,Very High
43.4,Very High
43.5,Very High
43.6,Very High
43.7,Very High
43.8,Very High
43.9,Very High
44,Very High
44.1,Very High
44.2,Very High
44.3,Very High
44.4,Very High
44.5,Very High
44.6,Very High
44.7,Very High
44.8,Very High
44.9,Very High
45,Very High
45.1,Very High
45.2,Very High
45.3,Very High
45.4,Very High
45.5,Very High
45.6,Very High
45.7,Very High
45.8,Very High
45.9,Very High
46,Very High
46.1,Very High
46.2,Very High
46.3,Very High
46.4,Very High
46.5,Very High
46.6,Very High
46.7,Very High
46.8,Very High
46.9,Very High
47,Very High
47.1,Very High
47.2,Very High
47.3,Very High
47.4,Very High
47.5,Very High
47.6,Very High
47.7,Very High
47.8,Very High
47.9,Very High
48,Very High
48.1,Very High
48.2,Very High
48.3,Very High
48.4,Very High
48.5,Very High
48.6,Very High
48.7,Very High
48.8,Very High
48.9,Very High
49,Very High
49.1,Very High
49.2,Very High
49.3,Very High
49.4,Very High
49.5,Very High
49.6,Very High
49.7,Very High
49.8,Very High
